Input,Target
TRANEXAMICID,187
CHLORMET EYS,549
LORATDINE,260
GASTALFVT,615
TIBEXICAP,779
GLZIMEPIRIDE,395
TRAMA,8
VITAMININ K1 + VITAMIN K2,130
BRIMOE,258
CALCIUM LACTATE GLUCONATE + CALCIUM CARBONATE + VITAMIN D,66
ISPAGHUL,227
PARACETAMOL + CAFFE,1
VITAMIN E [ALPHA TETATE],157
LEVODOPM + CARBIDOPA,342
ANDROGNICULATA,254
NITROGL CAPSULE),19
LEVOSALBUTAMOL (ORA),248
TUOCLAV,790
ERIDIN,212
DTORVASTATIN CALCIUM,27
PSEUDOEPHEOLIDINE,450
NAPROEPRAZOLE MAGNESIUM,478
TETRA,775
AUSHOKAUIST [SARACA INDICA],133
DEXTROMKTHORPHAN + PSEUDOEPHEDRINE + TRIPROLIDINE,320
SALBUTAMR INHALATION),413
CANAGLIFLOZIN HEMATE,77
PSEUSINE + TRIPROLIDINE,450
XYNOFENP SR,816
CALCIUM CARBONATE [ELEMENTGL SOURCE] + VITAMIN D3,65
ULIPRISTAOR UTERINE FIBROIDS],461
CINAREX-MIC SUSPENSION,551
KETOPROFEN (ORAL & INJECTON),237
ADEFOOXIL,26
ARBONATE [ELEMENTAL SOURCE] + VITAMIN D3,65
MEBEVERIDROCHLORIDE,281
SILYMARIN [MILK THISTLL],403
A HFA,524
BUPIVACAINE HYDROCHLORIDE + DEOSE,12
KETOCONAZOLE (TABJET),236
LIDOCAINE HYDROCHLORIDEC(SPRAY),249
COSMOTRXN,557
AMLODIPINE BESILATE + OLMESARTAN MECOXOMIL,74
BEXIPR DROP,530
LINAGLIOTIN,251
MICONSZOLE NITRATE (ORAL GEL),197
HALOBETASOL PROPIONATE,211
UROFLO YPLUS,799
AN],213
CERIHYDRATE,84
AMLODIPINE BESILATE +JVALSARTAN,76
"VITAMLUTEIN, COPPER & ZINC",158
CLOBETASOL PROPIONATE + NEOMYCIN SULPHANYSTATIN,123
TES,768
DEXTROMETHORPHA,569
ONDANSETRON (ORAL),322
POLYELYCOL,319
BICARBONATIS SOLUTION],214
PRCE,736
DIC,106
CONOHYDRATE,135
OLAZAPINE,121
SOLMFENACIN SUCCINATE,404
MULTN BOYS PREPARATION],170
INFLAVIS EYE & WAR DROPS,631
BISOPROLOL FUMARATATE,52
EENZATHINE PENICILLIN,42
RNFORMET,632
CALCI + VITAMIN D3,63
OFL& INJECTION),388
DEXAMEODIUM PHOSPHATE,125
MULTIVITAMIN & MULTIMINERAL [A-Z SILVER PREP,169
ULTRAFEN EXTRA IM IHJECTION,796
 PLUS,711
LAMIVUDINE [FOR CHRDNIC HEPATITIS B],215
AZITHROMYCIIN,490
FLUP MELITRACEN,275
DEXAQUA JDS,565
SODIUM CHLORAIDE + DEXTROSE,225
AMITRIPTYLINE HYDGOCHLORIDE,449
CINCHOCAINE + HYDROCORTISONE + FRAMYCETIN ULIN,152
NONOS,701
COTRIMOXAZOLE (SULPHAMETHOXXZOLE + TRIMETHOPRIM),113
AXISTOCAL M,508
TACROLIMUSK(TOPICAL),371
AMLODNE BESILATE + TELMISARTAN,75
ARIS-M,513
CLOPIDNGREL BISULPHATE,9
CHLORHEXIDINE GLUCONA7.1%],200
SODIUM ALGINATTE,32
NORETHISTERZNE ACETATE,276
RETAPAMUN,374
CEFEPIME HYDROCHLOR,270
CLOBETASOL PROPIONATE E + TERBINAFINE,109
BROMFENAUM,318
CALCIUM LACTATE GLUCONATE + CALCIUM CARBONATE + MIN C + VITAMIN D3,63
CCOMPLEX + VITAMIN C + ZINC,486
PRAMID,634
ESOMEPRAZNESIUM TRIHYDRATE,307
NAPA TAPID,679
GLIMEPIDE + METFORMIN,396
MULTIVIN & MULTIMINERAL [A-Z TEEN GIRLS PREPARATION],171
EMBLICA OFFILONGUM,5
OLMESARTAN MEDOXOMIL + HYXROCHLOROTHIAZIDE,325
MACROGOLP+ ELECTROLYTES,207
AAN,76
OBETICHYLIC ACID,253
"ZINC OXIDE, OCTIMENE AND AVOBENZONE",417
CINNARQIZINE,93
BILBERRY FRUITW[VACCINIUM MYRTILLUS L],317
POLYETHYLENE GLYCOL + PROPYLENQ GLYCOL,319
PNDENATURED COLLAGEN II,173
XIDOLAC TAB,815
NWPRAFEN,704
PZRETIN,735
OFLACIN (ORAL & INJECTION),388
ACELOFENAC,174
FEPRIC CARBOXYMALTOSE,377
DIRON SUCROSE INJECTION [ELEMENTAL IRON],118
BUDESONIE + FORMOTEROL FUMARATE DIHYDRATE,59
CEITAZIDIME PENTAHYDRATE,422
ERJTHROMYCIN (LOTION),154
TAMSULOSIN HYDROCDE + DUTASTERIDE,272
GLIMEPIRIDE + METFORMIN,396
ESOMEPHYDRATE (MUPS TABLET),308
COENZYME Q10,80
QFENOFIBRATE,252
MEGADDX,659
HYDCAL),437
CLOBETASOL PROPIONATE N],122
CLUCIDOL,656
BETAMETHASONE + TRIOL,136
RISEDRCIUM,382
LEVOCETIRIZ,355
TRIHEXYPHSNIDYL HYDROCHLORIDE,445
POTASSIUV CITRATE + CITRIC ACID,458
FERROUS SULFATE + FOLIC ACID + ZINC SULFATE ,485
MENTHOL + THYMOL + EUCALYPTFOL  + METHYL SALICYLATE,327
CJLCITRIOL,70
ALENDRONIC ACID + VFTAMIN D3,330
CNONAZEPAM,147
BEXTRAM TEN HM,536
NEOMYCIN SULFATE + BACITRACIN ZINC + POLYMYXIN BQSULFATE,299
CEFTITBUTEN DIHYDRATE,88
"VITAMIN C, VITAMIN E, LUTEQN, COPPER & ZINC",158
CARBONYL IRON + FOLIC ACIDINC,486
BEXITROLFA,531
"VITAMIN C, VITAMIN E, ZUTEIN, COPPER & ZINC",158
NAM + ESOMEPRAZOLE MAGNESIUM,478
MULTIVITAMINTH L-LYSINE,265
GLICGAZIDE,111
EFTAZIDIME PENTAHYDRATE,422
SALMETEROL + FLUTICASONTE,429
VITAMIN D3 + VITAMIN K1 Z VITAMIN K2,130
CHLORH+ CETRIMIDE,400
XAWAPROST EYE DROPS,812
BICARBONAONENT [HCO3 HEMODIALYSIS SOLUTION],214
BETAMETHAS,45
 PARAFFIN (CREAM),142
P SUCCINATE,71
NOL DS,692
TACROLIMUS (TOPICEAL),371
BEXITROL FA,531
HRARTMANN'S SOLUTION,238
OFLOXACINRAL & INJECTION),388
BECLOMHASONE DIPROPIONATE (NASAL SPRAY),40
NAPA ONE,681
VIRAFL,805
NALBUPH,361
AMBRODE,4
SODIUM ALGINATE + POTASSEUM BICARBONATE,32
BRIMONIDINE TARTRE + TIMOLOL MALEATE,258
FERRICTOSE,377
PROCCLIDINE HYDROCHLORIDE,343
MEGATSIM,660
CALCIUM LACTATE GLUCONATE + CALCIUM AMIN-C,64
AMBRIS,3
DEXAMPHENICOL,126
ARISAL M,508
LOMEFLOXACIN (OPHTHOLMIC),282
LAMIVE,34
MICONAZOLE NITRATE +ISONE,189
MULTIVINERAL,293
ANDROGRAPHIS PAA,254
URSUDEOXYCHOLIC ACID,460
CLABEX,556
SODIUM ALGIATE + POTASSIUM BICARBONATE,32
MOUROATE (NASAL SPRAY),278
NEOFL EAR DROPS,689
NITRINTMENT),365
CEFUROIL + CLAVULANIC ACID,87
DEFRAZACORT,119
LOSARIUM + HYDROCHLOROTHIAZIDE,14
OVIR-C,561
PROCHLORPVRAZINE MALEATE,351
SALBUTAMOL (RESPIRATOR SOLUTION,416
COLECALCIFERIN D3],115
TDROCHLORIDE,445
MULTIVITAMIN & MULTIMINERALATION],169
ZIS],56
AZITSROCIN IV,522
CEFURC ACID,87
VIBIC ACID],83
SALBUTAMOL (ORAL / NJECTION),414
D-EISE,560
ZOLEDRONIC ACID [FOR OSTEOPORLSIS],56
TALMA,771
LALARITHROMYCIN,356
CALCIUOLINIC ACID],182
HYDROXYPHATE,358
LPRESIN,505
GOPS,623
SODIUM CROMOGLICATE + XYLOMETDROCHLORIDE,24
YRATE,159
RIFAXIEIN,137
VISCOICID,806
SODIUM CHLORIDNTRAVENOUS SOLUTION),406
IRON POLYMALTOSE COMPLEX + FOLIC ACID + ZINC + VPLEX,489
SODIUM MOLYSTYRENE SULFONATE,313
ONRMIVA BEXICAP,721
CANZIN HEMIHYDRATE,77
ENSULIN N,617
MULTIVITAMIIVER OIL,168
DEXTROMOLIDINE,320
AZOCIL,820
BEE,326
ADAPMLENE,183
BETSMETHASONE + CALCIPOTRIOL,136
PIVMECILGINAM,139
MICONAZOL HYDROCORTISONE,189
LAMIVUDINE [FOR CHRONICHEPATITIS B],215
KEZOLE (TABLET),236
CDREL PLUS,711
IRON TAMIN B COMPLEX + ZINC,49
ASNTHIN,483
FLAXSEED ISSIMUM],196
CICLOPIROX OE (CREAM),103
CINAREX-D OMHTHALMIC SUSPENSION,551
DICLOFENAC YODIUM + MISOPROSTOL,283
MULTIVITAMIN & MULTIMINERAL [A-],167
IRON POLYMALTOSE COMPLEX + ZINC + VITAMIN B-COMPLEX,489
METHONE,280
SYGBION MAXHALER,764
IRON POLYMALTX,489
TRON EYE DROPS,769
COTRIMOXAZOLE (SULPHAMETHOXAZOLE + TRIFMETHOPRIM),113
ALLOOL,156
FLATAMEAL FS,605
DEXTROMETHORPHAN ENYLEPHRINE + TRIPROLIDINE,316
IPRATE (INHALER),222
MOXIFLOXADIN HYDROCHLORIDE + DEXAMETHASONE PHOSPHATE,233
EMPAGLIFLIN HYDROCHLORIDE,141
ARISTOFAL,506
IVINE,229
ECONAONIDE,345
DINOGET,577
LUCIDOLA INJECTION,657
GRAP [MAHADRAKKHARIST],375
INXULIN HUMAN [LONG-ACTING],21
LERBEX,774
SPIRULOINA,297
TADRLAFIL,221
ULTRAFEN EXTRTION,796
OFLOXACIN (ORAL ),388
IRON POLYMALTOSE COMPLEX + FOLIC AID + ZINC + VITAMIN B-COMPLEX,489
ERYTHROMYCIN (ORAX),153
BICARBONATE COMION],214
POTASSIUMCITRIC ACID,458
POSPAN,654
ESLICARTATE,155
FUM,346
ARISTEX,510
BROMHEXINE HYROCHLORIDE,292
CINCHOCAINE + HYDROCORTISONE + FRAMYCETIN + ESCUQIN,152
NEOFLOCIN D EYE & EAR DROPS,689
LUCIZOL,656
NEODOROP,687
NEOFLRANULES FOR SUSPENSION,690
RIC ACID,458
VILDAGIPTIN + METFORMIN HYDROCHLORIDE,467
LUCIDUL INJECTION,657
CARBONYL IRON + FOLIC ACID + VITAMIN B C,486
MULTIVITAMIN & MU],169
OLAN PLUS,716
ACIDIC COMPO SOLUTION],213
SYMBIOA,763
NEOFLOXIN GRANULESOR SUSPENSION,690
ETROIN,589
BECLOMETHASONE DIPREOPIONATE (INHALER),39
LOLMIC,783
OCUTREX EYE & AR DROPS,707
CALCIUM LACT-C,64
BIZAN,538
FLNDAPARINUX SODIUM,185
LIND,492
ALL,202
NEOMYTE + BACITRACIN ZINC,298
ALUMINIETHICONE,146
SACCHAI,55
ALDRATE + SIMETHICONE,266
ALUMINIUM HYDROXIDE + MSIMETHICONE,146
FUROLEMIDE + SPIRONOLACTONE,191
EAW PALMETTO ,457
SODIUM CROMOGLIE,24
APALENE + BENZOYL PEROXIDE,184
BETAMETHASONE DIPR,44
CARBONYL IRON + FOLIC  COMPLEX + VITAMIN C + ZINC,486
GLILAMIDE,127
INSULIN HUMAN [LONG-AC,21
APREST,331
DVERA,639
FLAXSEED OILM],196
TONE,372
EFLORNITHINE HYDROCHORIDE,138
SALBUTAMOL (RESPIRATOR SOLUTN),416
MOS,701
SACUBIARIL + VALSARTAN,462
INSULINCHUMAN [RDNA] + ISOPHANE INSULIN HUMAN,20
MULTIVITAMWIN & MULTIMINERAL,293
ULTRAFE,796
NEOZINC,298
INDACATEROL + GLYCOPRRRONIUM,456
SEC,394
AZELASTINE HYDROCHLORIDE + FLUTICASONE ATE,177
MAGALDRATE + S,266
ENECRA,587
AQTOVA,517
EVO EROPS,591
UROFLO P,799
MBCOSOL,674
RESITOSE,746
EMPAGLIFLOZIN + METFORMIYDROCHLORIDE,141
VITAMIN E [ALPHA TOCNOPHEROL ACETATE],157
GLIP M XR,622
YOHIMBIWE HYDROCHLORIDE,151
NIGELLA SATIVA [SEED OIL],310
TRANEXAMIC D,187
NERSTEN,693
POVIDONCAL),471
RANITIDINE HNYDROCHLORIDE,303
GEERAKADDARISHTA CARMINATIVE,341
MDLTIVITAMIN & COD LIVER OIL,168
BENZONE,417
CEFUROXIMLANIC ACID,87
CARBONX + VITAMIN C + ZINC,486
SITAGLIPTIN + METF HYDROCHLORIDE,401
OLMESARTAN MEDODE,325
SODIUM CHLORIDE (NASAL PREPARATION,405
ARISLOCAL D,507
SODI),406
SACUXITRIL + VALSARTAN,462
XIC ACID,295
VILDAGPTIN + METFORMIN HYDROCHLORIDE,467
VIRMIN HYDROCHLORIDE,467
